FIELD,R1_T1,R1_T1_SCORE,R1_T2,R1_T2_SCORE,R2_T1,R2_T1_SCORE,R2_T2,R2_T2_SCORE,R3_T1,R3_T1_SCORE,R3_T2,R3_T2_SCORE,R4_T1,R4_T1_SCORE,R4_T2,R4_T2_SCORE,R5_T1,R5_T1_SCORE,R5_T2,R5_T2_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,STANFORD,15,COLORADO STATE,11,,,,,UNC,15,CARLETON,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,,,,,,,,,PITTSBURGH,15,MICHIGAN,8,WASHINGTON,15,COLORADO STATE,10,UNC,14,OREGON STATE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,UNCW,15,TEXAS A&M,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5,PITTSBURGH,15,UCONN,5,UMASS,14,WASHINGTON,12,,,,,,,,,MINNESOTA,15,OREGON,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F6,MICHIGAN,15,TEXAS A&M,7,CARLETON,15,AUBURN,8,,,,,STANFORD,12,CAL POLY-SLO,10,UMASS,15,CAL POLY-SLO,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7,OREGON,15,BRITISH COLUMBIA,10,,,,,MINNESOTA,15,VIRGINIA TECH,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8,WISCONSIN,15,VIRGINIA TECH,10,,,,,WISCONSIN,15,BRITISH COLUMBIA,8,,,,,UNCW,15,UCONN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13,,,,,COLORADO,15,OREGON STATE,12,,,,,COLORADO,13,AUBURN,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
